2024-08-08 09:23:35 | INFO | model_worker | args: Namespace(host='0.0.0.0', port=7801, worker_address='http://0.0.0.0:7801', controller_address='http://0.0.0.0:7800', model_path='/model_repos/CustomLLM/Qwen2-7B-Instruct', revision='main', device='cuda', gpus='0', num_gpus=1, max_gpu_memory=None, dtype='bfloat16', load_8bit=True, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, enable_exllama=False, exllama_max_seq_len=4096, exllama_gpu_split=None, exllama_cache_8bit=False, enable_xft=False, xft_max_seq_len=4096, xft_dtype=None, model_names=None, conv_template='qwen-7b-chat', embed_in_truncate=False, limit_worker_concurrency=5, stream_interval=2, no_register=False, seed=None, debug=False, ssl=False)
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48770 - "POST /model_details HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48780 - "POST /count_token HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48784 - "POST /model_details HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48800 - "POST /count_token HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48802 - "POST /model_details HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48818 - "POST /count_token HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48822 - "POST /model_details HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48832 - "POST /count_token HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48838 - "POST /model_details HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48852 - "POST /count_token HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48866 - "POST /model_details HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48878 - "POST /count_token HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48894 - "POST /worker_get_conv_template HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48904 - "POST /model_details HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48918 - "POST /count_token HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:48922 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:58024 - "POST /model_details HTTP/1.1" 200 OK
